,Date,Minimum temperature (째C),Maximum temperature (째C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (째C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (째C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),TOTAL DEMAND
34,2021/03/07,11.3,28.5,0.0,6.0,7.9,N,26.0,12:20,13.7,82.0,6.0,NE,7,1012.0,27.2,29,6.0,S,7,1008.2,4128.66
201,2021/08/21,10.6,20.0,1.0,3.6,10.2,NW,33.0,11:24,13.9,64.0,0.0,NNW,13,1015.3,18.9,44,4.0,NW,13,1013.8,4324.88
242,2021/10/01,13.6,22.2,21.8,2.8,5.8,SSE,30.0,16:25,17.0,72.0,7.0,NNE,13,1005.4,20.5,51,5.0,SSE,7,1002.7,4546.66
216,2021/09/05,8.3,13.6,9.6,4.4,6.4,SSW,39.0,04:42,10.0,88.0,7.0,WSW,9,1022.4,12.4,72,7.0,S,13,1022.2,4286.13
226,2021/09/15,5.3,15.9,0.2,3.0,10.8,SSE,31.0,10:40,10.7,69.0,1.0,ESE,6,1027.6,14.4,48,2.0,SSW,17,1024.5,4929.07
220,2021/09/09,12.2,25.8,0.0,5.2,8.5,N,52.0,08:13,14.6,58.0,7.0,N,28,1022.7,24.7,26,6.0,NNW,20,1016.2,4308.73
73,2021/04/15,14.0,20.2,0.0,7.4,5.4,SW,39.0,14:25,15.8,52.0,3.0,WNW,11,1016.2,15.7,71,7.0,WNW,6,1015.3,4752.79
57,2021/03/30,9.8,18.9,0.0,3.6,10.2,SSW,26.0,13:08,11.5,84.0,7.0,NE,2,1027.1,18.5,60,1.0,SSW,11,1025.7,4674.82
133,2021/06/14,9.7,16.4,0.0,1.4,1.6,ESE,15.0,16:16,11.0,89.0,7.0,NNE,7,1018.0,15.9,57,6.0,SSE,6,1015.5,4879.14
181,2021/08/01,8.0,15.7,18.0,6.8,9.0,NNW,30.0,12:08,11.1,72.0,1.0,NW,9,1010.6,14.6,42,3.0,W,9,1011.5,4639.38
339,2022/01/06,18.3,30.2,0.0,6.6,9.9,NNW,39.0,13:53,22.9,62.0,4.0,NNE,6,1010.2,23.1,73,7.0,WNW,11,1007.6,4847.4
364,2022/01/31,20.1,34.0,0.0,4.4,10.9,NW,22.0,01:52,22.7,78.0,4.0,SSE,6,1009.2,31.4,54,5.0,WNW,6,1003.8,6082.31
338,2022/01/05,18.5,29.3,0.0,1.8,5.0,NE,37.0,14:22,22.9,71.0,7.0,SE,7,1009.6,28.1,51,7.0,E,13,1007.6,4471.33
61,2021/04/03,15.1,31.6,0.0,4.4,10.9,N,37.0,11:45,21.9,55.0,0.0,NNW,17,1022.3,30.5,32,0.0,N,19,1018.3,4250.87
316,2021/12/14,15.9,21.0,0.0,10.4,11.2,SSW,31.0,15:54,18.5,65.0,7.0,S,7,1015.6,20.0,64,1.0,SSW,17,1013.7,4621.59
52,2021/03/25,15.5,21.1,4.6,2.8,3.1,WNW,31.0,04:55,15.7,87.0,7.0,W,9,1005.3,19.8,52,7.0,WNW,13,1006.4,4624.14
290,2021/11/18,10.9,26.9,0.0,5.0,5.2,N,67.0,15:02,19.7,41.0,7.0,N,24,1013.2,24.9,36,5.0,N,30,1006.4,4368.78
185,2021/08/05,9.8,15.8,0.4,1.6,3.9,WNW,31.0,14:49,11.8,80.0,7.0,WNW,11,1021.7,15.2,63,7.0,W,15,1020.1,5334.3
39,2021/03/12,14.9,30.3,0.0,4.0,10.1,N,26.0,12:35,17.9,94.0,1.0,N,7,1016.7,29.0,36,7.0,NNE,9,1012.6,5007.65
300,2021/11/28,9.8,22.1,0.0,7.0,12.1,SSW,30.0,17:05,15.5,59.0,2.0,N,4,1024.3,20.1,47,1.0,SSW,13,1020.1,3467.57
212,2021/09/01,9.8,23.5,0.0,6.6,10.7,N,35.0,15:01,15.3,56.0,4.0,NE,7,1023.8,23.2,36,7.0,N,19,1021.5,4402.31
157,2021/07/08,,,,1.8,8.3,,,,,,2.0,,,,12.0,55,6.0,NE,9,1019.4,6110.95
304,2021/12/02,18.4,33.0,11.8,12.2,8.8,S,41.0,19:11,25.6,43.0,5.0,N,13,1013.7,23.3,70,7.0,SW,9,1010.8,5013.18
129,2021/06/10,9.7,15.1,12.0,3.6,0.3,S,67.0,00:33,14.5,78.0,8.0,SSE,30,1009.5,14.3,71,7.0,ESE,11,1009.8,5278.12
202,2021/08/22,11.3,22.2,0.0,4.0,10.6,N,57.0,14:54,14.6,62.0,1.0,N,20,1014.5,21.6,37,1.0,NNW,37,1007.8,3951.02
371,2022/02/07,14.7,28.6,0.0,8.2,13.1,SSW,33.0,14:30,20.3,58.0,1.0,NE,7,1024.7,27.2,40,1.0,S,13,1020.2,4641.62
355,2022/01/22,17.7,32.3,0.0,12.0,13.3,SSE,35.0,17:57,24.3,45.0,1.0,N,13,1023.2,30.7,35,1.0,SW,13,1018.2,4941.29
287,2021/11/15,8.7,13.8,1.6,5.0,6.0,WNW,41.0,00:31,11.6,60.0,6.0,WSW,9,1009.3,12.4,57,6.0,S,13,1011.6,4783.86
199,2021/08/19,8.2,17.4,0.0,2.6,8.3,N,31.0,15:18,11.6,72.0,5.0,N,13,1023.3,16.7,50,2.0,N,17,1019.3,5041.02
169,2021/07/20,9.9,11.4,0.6,2.2,0.3,SW,54.0,17:18,10.8,80.0,7.0,N,13.0,1005.2,8.6,86,8.0,SSW,13,1007.4,6055.7
228,2021/09/17,7.1,22.2,0.0,3.6,5.8,N,59.0,11:41,15.9,50.0,1.0,N,13,1015.1,20.2,39,3.0,NNE,24,1008.2,4546.72
195,2021/08/15,10.1,19.0,0.0,3.0,9.1,NNW,54.0,13:07,12.1,63.0,3.0,N,17,1024.1,18.3,31,2.0,W,22,1019.2,4189.94
125,2021/06/06,6.7,14.7,0.0,2.6,4.2,N,39.0,12:17,11.0,81.0,7.0,N,17,1022.2,13.6,73,5.0,N,17,1019.9,4752.52
250,2021/10/09,11.5,24.8,0.0,7.2,8.1,N,43.0,14:28,16.2,52.0,7.0,N,19,1012.2,23.6,33,6.0,NNW,19,1008.8,3850.6
55,2021/03/28,12.4,20.2,0.0,4.4,3.9,SSW,24.0,11:10,14.2,76.0,6.0,NNW,7,1018.8,18.3,55,7.0,SSW,9,1018.6,4098.78
186,2021/08/06,10.7,14.2,0.2,2.2,0.6,NNW,28.0,20:22,12.1,74.0,7.0,WNW,9,1024.5,13.9,60,8.0,NW,13,1023.1,5417.87
271,2021/10/30,7.3,15.9,1.0,4.2,7.8,SSW,35.0,14:11,11.9,60.0,1.0,WSW,9,1021.3,15.5,49,6.0,SW,13,1021.0,4094.61
236,2021/09/25,7.1,12.8,0.0,4.6,5.9,S,37.0,15:01,9.6,65.0,3.0,WSW,11,1020.7,11.0,55,6.0,SSW,17,1022.7,4354.64
377,2022/02/13,17.1,32.1,0.0,8.6,9.1,NNW,54.0,09:18,23.5,50.0,4.0,NNW,20,1016.9,30.3,34,7.0,NNW,20,1014.6,4563.72
150,2021/07/01,10.5,17.2,0.0,1.4,8.9,NNW,35.0,12:17,12.3,86.0,1.0,N,11.0,1022.3,16.6,58,1.0,N,20,1019.1,5344.65
127,2021/06/08,9.3,13.2,3.0,4.8,2.3,N,48.0,00:39,9.3,89.0,7.0,NNE,9,1005.0,11.1,72,7.0,W,11,1004.8,5676.38
120,2021/06/01,5.7,15.7,0.0,4.0,1.3,N,39.0,11:32,9.2,60.0,8.0,NNE,13,1020.8,15.3,48,7.0,N,17,1019.4,5577.54
35,2021/03/08,13.7,19.6,0.2,6.0,0.0,SSW,31.0,16:30,17.4,88.0,8.0,WSW,6,1010.4,17.5,79,8.0,SSW,4,1010.3,4473.62
358,2022/01/25,20.1,31.4,0.0,10.0,12.8,S,30.0,13:05,25.2,58.0,3.0,N,2,1009.0,27.4,60,1.0,SSW,15,1007.2,6180.59
376,2022/02/12,15.7,28.3,0.0,6.4,12.4,SSE,33.0,17:39,18.7,68.0,1.0,ESE,6,1020.3,26.6,47,2.0,SSW,7,1017.1,4135.15
22,2021/02/23,13.1,19.2,0.0,7.2,8.5,SSE,43.0,05:09,16.4,49.0,6.0,SSE,15,1018.7,18.2,45,4.0,SSW,17,1019.4,4369.82
352,2022/01/19,15.4,26.7,0.0,7.2,13.6,SE,52.0,16:10,21.1,59.0,1.0,SE,11,1021.1,25.4,43,1.0,SE,24,1021.3,4298.87
47,2021/03/20,14.0,26.0,0.0,5.4,5.3,E,31.0,13:37,16.7,90.0,1.0, ,Calm,1027.4,24.0,49,7.0,ESE,13,1024.3,4161.39
278,2021/11/06,16.6,27.0,0.0,5.4,4.3,N,43.0,07:44,21.3,69.0,6.0,N,22,1009.4,25.6,55,7.0,NNW,24,1004.5,4005.6
251,2021/10/10,10.0,14.9,2.2,5.4,7.6,SSW,39.0,13:27,11.6,76.0,7.0,SW,11,1014.5,14.7,51,6.0,SSW,17,1012.9,3895.97
410,2022/03/18,19.1,21.7,0.0,5.0,2.0,S,31.0,13:14,19.8,76.0,7.0,SSW,7,1020.7,20.8,67,7.0,SSW,13,1020.7,4791.69
37,2021/03/10,12.2,20.1,0.2,6.8,7.2,SSW,30.0,14:35,15.5,81.0,7.0, ,Calm,1021.7,19.7,58,1.0,SW,11,1019.5,4634.52
101,2021/05/13,8.1,17.6,0.0,1.2,1.0,NNW,39.0,11:57,14.0,65.0,7.0,N,15,1012.5,13.1,90,8.0,NW,9,1011.1,5263.5
60,2021/04/02,13.5,30.6,0.0,6.6,10.8,N,15.0,06:00,15.1,75.0,2.0,NNE,9,1026.2,29.3,28,0.0,SSW,9,1023.1,4221.92
154,2021/07/05,4.6,13.1,0.4,1.6,1.9,SSW,22.0,12:47,6.8,82.0,7.0,NE,9.0,1022.7,12.7,66,7.0,SW,7,1021.5,6231.44
71,2021/04/13,7.8,20.0,0.6,0.0,2.5,N,59.0,15:18,11.5,81.0,7.0,NNE,9,1018.8,18.5,46,7.0,N,28,1011.6,4939.37
273,2021/11/01,8.7,23.2,0.0,4.6,12.5,SSW,26.0,15:16,14.7,67.0,4.0,ENE,6,1024.6,20.2,52,4.0,SW,13,1022.3,4025.25
284,2021/11/12,11.0,14.0,1.0,4.4,0.0,SSE,50.0,14:35,12.0,83.0,8.0,SSE,15,997.4,13.0,91,8.0,SSE,19,997.2,5047.54
33,2021/03/06,14.2,19.4,0.0,5.6,10.0,S,33.0,17:07,15.2,57.0,7.0,SE,9,1014.8,18.3,58,2.0,S,17,1014.1,3920.84
301,2021/11/29,10.1,28.7,0.0,6.4,12.5,NNW,26.0,10:10,16.7,63.0,0.0,NE,7,1018.6,25.7,45,3.0,SW,11,1014.8,4390.37
108,2021/05/20,12.0,17.0,0.0,4.0,0.2,N,37.0,01:01,12.7,62.0,7.0,N,17,1025.8,16.7,55,7.0,SW,4,1026.3,5468.85
218,2021/09/07,10.5,16.2,0.0,3.2,4.9,S,31.0,15:41,13.0,73.0,7.0,WSW,13,1030.6,13.3,80,6.0,S,15,1030.4,4911.86
222,2021/09/11,13.2,22.8,0.0,6.4,1.1,N,46.0,06:44,16.7,41.0,7.0,N,20,1006.0,22.6,33,7.0,WNW,15,1002.9,4111.31
249,2021/10/08,7.0,20.8,0.0,4.0,11.7,N,44.0,13:18,11.5,69.0,7.0,N,9,1017.2,19.5,38,7.0,NNW,22,1013.3,4314.07
137,2021/06/18,6.1,13.2,1.6,1.8,0.1,SSW,26.0,13:15,9.4,100.0,7.0,S,2,1012.6,12.5,98,7.0,SSW,9,1014.4,5781.38
223,2021/09/12,10.3,16.2,0.0,5.2,7.3,WSW,39.0,02:11,12.4,51.0,1.0,NW,17,1005.9,11.7,62,7.0,S,11,1005.6,4218.13
78,2021/04/20,14.0,18.7,0.0,5.6,1.9,SSW,44.0,19:42,16.3,53.0,5.0,N,9,1011.0,11.4,88,7.0,W,6,1011.0,5096.85
184,2021/08/04,7.8,14.5,0.6,1.8,3.4,WSW,31.0,12:09,10.2,78.0,7.0,W,11,1016.0,14.3,67,7.0,W,9,1015.5,5491.74
43,2021/03/16,11.1,20.6,0.0,2.2,8.0,SSW,26.0,13:50,16.2,68.0,7.0,SSE,9,1026.7,19.6,62,1.0,SSW,13,1024.7,4675.09
31,2021/03/04,13.6,21.4,0.0,4.0,2.6,WSW,35.0,22:37,15.3,60.0,7.0,WSW,11,1017.2,19.0,60,7.0,SSW,7,1015.3,4693.95
295,2021/11/23,14.7,26.1,0.0,6.8,2.4,N,43.0,08:31,20.7,49.0,7.0,N,24,1016.7,24.6,47,7.0,N,17,1014.4,4491.87
248,2021/10/07,9.4,16.4,4.0,6.2,10.3,W,43.0,02:59,11.1,67.0,1.0,W,11,1012.6,15.3,44,7.0,SW,13,1014.0,4416.08
134,2021/06/15,7.0,15.6,0.0,0.8,0.0,N,24.0,17:27,8.5,89.0,7.0,NNE,7,1017.5,15.0,60,7.0,NNE,9,1014.5,5476.77
404,2022/03/12,11.7,22.6,0.0,3.4,10.7,S,28.0,14:49,14.2,77.0,7.0, ,Calm,1022.7,20.8,57,1.0,S,13,1021.0,3963.24
263,2021/10/22,13.7,27.3,0.0,4.6,6.1,N,41.0,10:43,18.1,69.0,1.0,NE,2,1015.3,26.5,40,7.0,NNW,15,1011.1,4448.53
291,2021/11/19,13.1,17.3,0.2,9.2,2.1,S,31.0,00:46,15.5,60.0,7.0,SSW,13,1014.3,16.0,59,7.0,S,13,1013.0,4439.38
58,2021/03/31,11.4,22.8,0.0,3.2,8.9,S,19.0,15:44,15.3,77.0,7.0, ,Calm,1026.6,21.0,58,1.0,S,7,1023.7,4737.36
205,2021/08/25,8.0,14.1,2.2,1.2,5.4,S,37.0,16:26,12.1,73.0,3.0,SSE,15,1023.3,13.4,59,6.0,SSW,17,1021.8,5262.64
231,2021/09/20,10.7,13.8,0.4,5.6,6.6,W,50.0,13:35,12.4,51.0,4.0,WNW,17,1011.9,10.3,62,7.0,WNW,17,1011.7,4875.8
5,2021/02/06,16.9,25.4,1.6,9.0,9.5,NW,39.0,11:44,18.6,59.0,7.0,N,17,998.5,23.7,45,7.0,NW,11,999.5,3993.73
325,2021/12/23,13.8,19.9,0.0,5.8,8.7,SSW,31.0,12:53,15.8,58.0,7.0,SE,11,1015.0,18.6,56,4.0,SSW,13,1014.7,3994.12
323,2021/12/21,15.3,24.9,0.0,7.8,13.1,S,31.0,18:57,17.3,64.0,6.0,WSW,9,1015.0,24.0,49,1.0,SSW,9,1012.1,4243.73
232,2021/09/21,6.3,13.2,8.0,3.0,3.5,SSW,43.0,12:05,7.9,84.0,4.0,W,11,1025.2,12.3,54,7.0,S,11,1026.4,5248.19
107,2021/05/19,9.8,18.5,0.0,3.6,6.7,N,39.0,14:45,12.5,70.0,2.0,N,15,1027.6,17.9,45,7.0,NNW,13,1024.3,5078.29
255,2021/10/14,8.2,19.4,14.8,6.2,10.0,N,39.0,09:16,11.7,75.0,1.0,N,9,1006.0,18.1,37,6.0,NNW,9,1003.5,4584.84
302,2021/11/30,14.4,31.6,0.0,8.0,13.6,N,31.0,09:41,22.0,50.0,0.0,NNE,11,1015.0,30.6,23,4.0,NNE,13,1011.2,4909.72
233,2021/09/22,7.9,17.8,0.2,0.8,6.2,W,26.0,00:07,12.5,79.0,7.0,SW,7,1026.7,16.4,63,3.0,SSW,13,1023.6,4893.82
77,2021/04/19,12.0,20.6,0.0,2.8,2.3,NW,30.0,13:27,15.3,64.0,6.0,N,9,1018.4,18.9,47,6.0,NNW,15,1014.1,4769.14
213,2021/09/02,15.0,26.6,0.0,7.6,10.8,N,65.0,12:18,21.8,34.0,0.0,NNE,17,1020.1,26.4,23,0.0,N,28,1013.6,4096.7
386,2022/02/22,13.0,22.5,0.0,6.4,12.5,SSW,30.0,15:18,16.1,58.0,1.0,S,11,1017.9,21.4,55,1.0,SSW,17,1016.3,4370.37
146,2021/06/27,9.7,15.3,0.0,2.4,4.9,NNW,26.0,01:43,10.9,81.0,5.0,N,11,1025.9,13.6,75,5.0,SSW,9,1027.0,4855.16
206,2021/08/26,5.5,12.9,1.2,2.4,1.0,SE,31.0,12:54,9.2,82.0,7.0, ,Calm,1022.7,12.2,55,7.0,SSE,13,1020.3,5622.2
116,2021/05/28,11.0,13.8,0.4,0.4,0.5,S,39.0,07:07,12.2,60.0,7.0,S,15,1031.8,12.7,59,7.0,S,11,1032.4,5378.69
8,2021/02/09,12.0,25.2,0.0,4.0,12.7,SSW,28.0,14:00,16.9,71.0,4.0,SSE,11,1018.4,23.3,50,1.0,SSW,13,1014.5,4451.44
147,2021/06/28,6.4,15.1,0.0,1.4,9.0,NNW,24.0,12:27,7.8,97.0,1.0,NNE,7,1032.8,14.6,53,1.0,NNE,9,1031.0,5615.12
143,2021/06/24,9.8,16.7,0.0,1.0,5.2,N,41.0,12:07,12.6,85.0,1.0,N,6,1007.2,15.3,54,7.0,N,17,1004.9,5344.19
239,2021/09/28,7.7,23.0,0.0,6.0,9.1,SE,24.0,17:56,14.0,52.0,7.0,NNE,11,1018.2,22.2,31,7.0,NNE,9,1014.0,4424.11
68,2021/04/10,12.9,18.3,0.2,2.8,3.9,WSW,54.0,14:43,14.1,71.0,6.0,WNW,11,1007.9,15.4,53,7.0,SW,17,1008.0,4233.11
56,2021/03/29,13.8,18.2,1.0,2.8,8.0,SSW,35.0,14:21,15.4,73.0,7.0,SSW,11,1024.0,17.4,55,7.0,S,15,1024.7,4631.35
332,2021/12/30,14.0,34.4,0.0,6.8,12.4,SSW,28.0,17:55,16.7,76.0,1.0,NNE,7,1015.6,29.4,41,1.0,WSW,7,1010.8,4503.62
63,2021/04/05,16.0,19.0,0.0,5.8,8.1,SSW,30.0,15:38,16.9,58.0,7.0,SSE,9,1022.7,18.1,58,3.0,SSW,17,1021.5,3985.12
354,2022/01/21,17.1,29.6,0.0,8.8,13.5,NNW,33.0,06:39,22.6,43.0,0.0,N,11,1028.1,28.3,42,1.0,SSW,11,1023.9,5072.16
131,2021/06/12,7.4,16.5,9.4,0.4,1.0,WNW,33.0,12:32,12.7,85.0,7.0,WNW,7,1014.4,15.5,61,7.0,W,11,1014.0,4831.98
370,2022/02/06,14.1,27.9,0.0,8.2,12.9,SW,33.0,15:48,18.6,64.0,1.0,NNE,2,1025.2,25.9,42,4.0,SSW,15,1023.2,3849.31
312,2021/12/10,13.5,17.9,0.0,2.2,6.2,S,43.0,16:43,16.1,70.0,7.0,SSE,11,1017.8,16.2,67,7.0,SSW,20,1016.9,4264.4
104,2021/05/16,8.3,15.5,0.2,3.0,3.2,NW,35.0,14:15,10.3,67.0,6.0,N,11,1021.8,14.5,59,7.0,NW,11,1019.1,4762.69
